index,Thiessen_date,Thiessen,skew_date,skew,diff_days,abs_days
8,1980-12-06,24.140748381650877,1980-12-15,0.04914580258532665,-9 days +00:00:00.000000000,9.0
19,1981-12-03,22.79514567326877,1981-12-02,0.1639389189080088,1 days 00:00:00.000000000,1.0
31,1982-12-06,11.125625037574274,1982-12-22,0.13242720997712473,-16 days +00:00:00.000000000,16.0
43,1983-12-15,18.193623182350837,1983-12-12,0.14258148038127716,3 days 00:00:00.000000000,3.0
54,1984-12-05,28.512443915570717,1984-12-02,0.1852520087228974,3 days 00:00:00.000000000,3.0
66,1985-12-05,35.07494750370861,1985-12-23,0.07849686149236318,-18 days +00:00:00.000000000,18.0
78,1986-12-26,25.032988892626854,1986-12-01,0.08393605396516246,25 days 00:00:00.000000000,25.0
90,1987-12-12,22.36019574038232,1987-12-12,0.14378285219891462,0 days 00:00:00.000000000,0.0
102,1988-12-31,12.827616276779963,1988-12-01,0.18370780765722267,30 days 00:00:00.000000000,30.0
114,1989-12-25,8.57149725418963,1989-12-02,0.062527980238844,23 days 00:00:00.000000000,23.0
126,1990-12-26,9.166516480132012,1990-12-06,0.04994171469306016,20 days 00:00:00.000000000,20.0
137,1991-12-29,13.723633080618074,1991-12-13,0.18015213093171475,16 days 00:00:00.000000000,16.0
149,1992-12-21,13.483459926844127,1992-12-01,0.058312686196200024,20 days 00:00:00.000000000,20.0
161,1993-12-05,12.979444155489688,1993-12-25,0.15252724770438314,-20 days +00:00:00.000000000,20.0
173,1994-12-09,22.14289514920928,1994-12-23,0.04392505886488909,-14 days +00:00:00.000000000,14.0
185,1995-12-18,23.13780835394229,1995-12-10,-0.00047245253800044806,8 days 00:00:00.000000000,8.0
197,1996-12-04,19.54872097732438,1996-12-07,0.10746457015213896,-3 days +00:00:00.000000000,3.0
209,1997-12-06,10.56555428977692,1997-12-08,0.032888542985770465,-2 days +00:00:00.000000000,2.0
221,1998-12-14,26.0265375916709,1998-12-13,0.16293691457316767,1 days 00:00:00.000000000,1.0
233,1999-12-05,28.376643946034783,1999-12-19,0.12849438314458986,-14 days +00:00:00.000000000,14.0
245,2000-12-12,37.857778777590156,2000-12-31,0.03196702245488532,-19 days +00:00:00.000000000,19.0
257,2001-12-12,10.747922909837573,2001-12-22,0.16614409514560774,-10 days +00:00:00.000000000,10.0
269,2002-12-26,67.86959885527139,2002-12-28,0.08033249536856077,-2 days +00:00:00.000000000,2.0
281,2003-12-09,5.586210051722468,2003-12-19,0.04304553804243643,-10 days +00:00:00.000000000,10.0
293,2004-12-03,20.11691174072441,2004-12-31,0.08497332183585046,-28 days +00:00:00.000000000,28.0
305,2005-12-26,23.23676147190495,2005-12-23,0.20251275347767864,3 days 00:00:00.000000000,3.0
317,2006-12-12,25.96553480775575,2006-12-18,0.22912602853122124,-6 days +00:00:00.000000000,6.0
329,2007-12-21,8.47199215088105,2007-12-31,0.0508019546274932,-10 days +00:00:00.000000000,10.0
341,2008-12-26,24.26631277157641,2008-12-06,0.10473329727966167,20 days 00:00:00.000000000,20.0
353,2009-12-16,23.757324839486305,2009-12-22,0.07860969541528581,-6 days +00:00:00.000000000,6.0
365,2010-12-14,28.327315078564048,2010-12-18,0.13299268999784866,-4 days +00:00:00.000000000,4.0
376,2011-12-14,5.740706054336039,2011-12-25,0.09546600537443099,-11 days +00:00:00.000000000,11.0
388,2012-12-27,10.133859883780927,2012-12-24,0.12244774753989306,3 days 00:00:00.000000000,3.0
400,2013-12-20,10.465890110205347,2013-12-25,0.06374406007432867,-5 days +00:00:00.000000000,5.0
412,2014-12-14,14.556285189445948,2014-12-23,0.11911068125984126,-9 days +00:00:00.000000000,9.0
422,2015-12-01,11.87423438946836,2015-12-18,0.12862921117328846,-17 days +00:00:00.000000000,17.0
434,2016-12-09,31.681044992969948,2016-12-28,0.1060697853972122,-19 days +00:00:00.000000000,19.0
