index,Thiessen_date,Thiessen,skew_date,skew,diff_days,abs_days
0,1980-04-17,0.5216629632233761,1980-04-16,0.16504690823506524,1 days 00:00:00.000000000,1.0
11,1981-04-20,3.549573655344382,1981-04-06,0.07160294577072901,14 days 00:00:00.000000000,14.0
23,1982-04-04,15.75438975436941,1982-04-14,0.25631703018983426,-10 days +00:00:00.000000000,10.0
35,1983-04-01,0.0,1983-04-01,0.0775193997755022,0 days 00:00:00.000000000,0.0
47,1984-04-26,31.650290138111572,1984-04-29,0.07513042227977386,-3 days +00:00:00.000000000,3.0
58,1985-04-27,36.10008466377224,1985-04-02,0.1717798707072607,25 days 00:00:00.000000000,25.0
70,1986-04-15,4.924470901251037,1986-04-16,0.13689249303308626,-1 days +00:00:00.000000000,1.0
82,1987-04-24,15.646147556981301,1987-04-16,0.2122092942412233,8 days 00:00:00.000000000,8.0
94,1988-04-26,21.432723367538845,1988-04-11,0.2361116078422323,15 days 00:00:00.000000000,15.0
106,1989-04-26,24.971693656708283,1989-04-01,0.045234984514795976,25 days 00:00:00.000000000,25.0
118,1990-04-29,3.392202008026508,1990-04-29,0.08580181625721489,0 days 00:00:00.000000000,0.0
130,1991-04-22,39.99262193022178,1991-04-04,0.27222563885773665,18 days 00:00:00.000000000,18.0
141,1992-04-14,12.131369677743555,1992-04-16,0.2960800009981329,-2 days +00:00:00.000000000,2.0
153,1993-04-18,7.811421565734488,1993-04-15,0.15925652379421734,3 days 00:00:00.000000000,3.0
165,1994-04-09,12.000062015409947,1994-04-20,0.12551171819322066,-11 days +00:00:00.000000000,11.0
177,1995-04-25,19.668976275262143,1995-04-27,0.09528975403451724,-2 days +00:00:00.000000000,2.0
189,1996-04-09,24.612602095377497,1996-04-24,0.20968263873949053,-15 days +00:00:00.000000000,15.0
201,1997-04-27,19.20726644399369,1997-04-29,0.193831271887171,-2 days +00:00:00.000000000,2.0
213,1998-04-18,11.252178864637285,1998-04-07,0.05713634790537131,11 days 00:00:00.000000000,11.0
225,1999-04-04,38.606112593923456,1999-04-04,0.18308754812628014,0 days 00:00:00.000000000,0.0
237,2000-04-17,87.49246185161336,2000-04-19,0.09428453793855412,-2 days +00:00:00.000000000,2.0
249,2001-04-19,10.682903027855447,2001-04-14,0.2083970246022758,5 days 00:00:00.000000000,5.0
261,2002-04-19,22.134318055595585,2002-04-14,0.16107636065873635,5 days 00:00:00.000000000,5.0
273,2003-04-02,2.535968156921556,2003-04-18,0.09611578505349697,-16 days +00:00:00.000000000,16.0
285,2004-04-09,8.528698603145424,2004-04-23,0.0934044635420306,-14 days +00:00:00.000000000,14.0
297,2005-04-28,7.6909907252120355,2005-04-04,0.15514795833037276,24 days 00:00:00.000000000,24.0
309,2006-04-28,72.43204214074929,2006-04-18,0.10417872108913914,10 days 00:00:00.000000000,10.0
321,2007-04-28,4.911623102843572,2007-04-07,0.18908797046963974,21 days 00:00:00.000000000,21.0
333,2008-04-30,49.069914832844105,2008-04-24,0.19275412221299554,6 days 00:00:00.000000000,6.0
345,2009-04-16,22.614395011944648,2009-04-08,0.19625098204957334,8 days 00:00:00.000000000,8.0
357,2010-04-17,8.646009035828383,2010-04-25,0.1466130334113376,-8 days +00:00:00.000000000,8.0
369,2011-04-19,86.97585523711305,2011-04-12,0.1011435303652839,7 days 00:00:00.000000000,7.0
380,2012-04-01,72.75208448394169,2012-04-09,0.05367983405774079,-8 days +00:00:00.000000000,8.0
392,2013-04-12,11.814437467903801,2013-04-12,0.20409739350477016,0 days 00:00:00.000000000,0.0
404,2014-04-07,16.669383206569194,2014-04-27,0.1339424179075572,-20 days +00:00:00.000000000,20.0
416,2015-04-13,18.867375771219773,2015-04-14,0.28292572419277023,-1 days +00:00:00.000000000,1.0
426,2016-04-23,4.568829378241542,2016-04-23,0.0961196116533877,0 days 00:00:00.000000000,0.0
438,2017-04-01,70.70010336096283,2017-04-05,0.13978793276455204,-4 days +00:00:00.000000000,4.0
