index,Thiessen_date,Thiessen,skew_date,skew,diff_days,abs_days
9,1981-01-29,8.47066676846522,1981-01-15,0.11587034488567945,14 days 00:00:00.000000000,14.0
20,1982-01-01,0.0,1982-01-21,0.2688758558949544,-20 days +00:00:00.000000000,20.0
32,1983-01-14,0.4895293943996452,1983-01-24,0.14097809813907738,-10 days +00:00:00.000000000,10.0
44,1984-01-21,4.906457072962317,1984-01-08,0.23105862289745666,13 days 00:00:00.000000000,13.0
55,1985-01-26,0.2608314816116881,1985-01-31,0.2160448042865718,-5 days +00:00:00.000000000,5.0
67,1986-01-01,10.88278656494633,1986-01-28,0.23052942438773424,-27 days +00:00:00.000000000,27.0
79,1987-01-01,0.0,1987-01-17,0.09926027435784103,-16 days +00:00:00.000000000,16.0
91,1988-01-02,4.390370072676857,1988-01-20,0.05934546190113848,-18 days +00:00:00.000000000,18.0
103,1989-01-27,5.182419142777612,1989-01-25,0.1355399248346117,2 days 00:00:00.000000000,2.0
115,1990-01-09,0.05796255386845664,1990-01-24,0.31778016324816594,-15 days +00:00:00.000000000,15.0
127,1991-01-28,4.062591952978587,1991-01-16,0.1702475276339762,12 days 00:00:00.000000000,12.0
138,1992-01-09,1.3268716817630846,1992-01-08,0.07229207290499774,1 days 00:00:00.000000000,1.0
150,1993-01-16,2.0832491530393717,1993-01-28,0.1971042712847122,-12 days +00:00:00.000000000,12.0
162,1994-01-01,2.589869124558367,1994-01-22,0.2171793530975099,-21 days +00:00:00.000000000,21.0
174,1995-01-23,18.771035106180467,1995-01-18,0.18257245287844148,5 days 00:00:00.000000000,5.0
186,1996-01-29,15.549161802356071,1996-01-30,0.12024426240108516,-1 days +00:00:00.000000000,1.0
198,1997-01-27,0.4057378641235563,1997-01-28,0.07528036807425433,-1 days +00:00:00.000000000,1.0
210,1998-01-29,3.6078946505676193,1998-01-29,0.15529852295546775,0 days 00:00:00.000000000,0.0
222,1999-01-11,37.25781739823071,1999-01-13,0.1296126660849948,-2 days +00:00:00.000000000,2.0
234,2000-01-23,4.264222331212759,2000-01-30,0.16428694678325695,-7 days +00:00:00.000000000,7.0
246,2001-01-14,4.80466147278019,2001-01-30,0.09419799870054538,-16 days +00:00:00.000000000,16.0
258,2002-01-01,0.0,2002-01-30,0.15464690207251802,-29 days +00:00:00.000000000,29.0
270,2003-01-01,1.0766179026184093,2003-01-09,0.09496235525253124,-8 days +00:00:00.000000000,8.0
282,2004-01-29,5.648416296409351,2004-01-25,0.05980903817055455,4 days 00:00:00.000000000,4.0
294,2005-01-01,0.0,2005-01-01,0.18255959905623648,0 days 00:00:00.000000000,0.0
306,2006-01-03,0.18186009786376034,2006-01-28,0.09946015541383182,-25 days +00:00:00.000000000,25.0
318,2007-01-08,0.5168848279424728,2007-01-08,0.18401220962463186,0 days 00:00:00.000000000,0.0
330,2008-01-16,2.875063187473947,2008-01-03,0.14505953862212478,13 days 00:00:00.000000000,13.0
342,2009-01-01,0.6172689449530205,2009-01-28,0.13933670832456452,-27 days +00:00:00.000000000,27.0
354,2010-01-20,11.550697454136431,2010-01-20,0.18988410525821955,0 days 00:00:00.000000000,0.0
366,2011-01-05,3.7806780195994896,2011-01-29,0.2144747110994242,-24 days +00:00:00.000000000,24.0
377,2012-01-17,11.334731372008527,2012-01-09,0.13321501087417945,8 days 00:00:00.000000000,8.0
389,2013-01-09,23.91931708552769,2013-01-01,0.12919491181796022,8 days 00:00:00.000000000,8.0
401,2014-01-13,4.1827536276552495,2014-01-16,0.07846007658255495,-3 days +00:00:00.000000000,3.0
413,2015-01-05,1.97468278249056,2015-01-17,0.10531020988168303,-12 days +00:00:00.000000000,12.0
423,2016-01-03,17.093870146817295,2016-01-26,0.17304745438452265,-23 days +00:00:00.000000000,23.0
435,2017-01-25,15.666211692168615,2017-01-27,0.16782228596699764,-2 days +00:00:00.000000000,2.0
