rainfall,610,860,1110,1360,1610,1860
0,0.0,0.0,49650838.0,229081436.0,418287535.0,602275745.0
60,41197789.0,43921291.0,149132165.0,335015012.0,513273697.0,693259813.0
120,138612798.0,176812511.0,341246435.0,508620320.0,668183850.0,837840842.0
180,288926164.0,397728489.0,541224633.0,685252849.0,832395852.0,990141392.0
240,495516948.0,616002036.0,737110000.0,866688063.0,1003349995.0,1147615816.0
300,707695761.0,823177837.0,926851748.0,1045280299.0,1172531714.0,1306249253.0
