date,rainfall,coastal,compound
1,0.5555555555555556,12.88888888888889,0.0
2,1.0,6.0,0.2222222222222222
3,2.111111111111111,5.0,0.2222222222222222
4,5.111111111111111,1.2222222222222223,0.1111111111111111
5,20.22222222222222,0.0,0.0
6,20.11111111111111,0.0,0.0
7,19.11111111111111,0.2222222222222222,0.0
8,26.444444444444443,0.5555555555555556,0.0
9,24.77777777777778,15.333333333333334,0.2222222222222222
10,19.555555555555557,23.555555555555557,9.777777777777779
11,13.555555555555555,18.666666666666668,4.888888888888889
12,0.3333333333333333,18.0,0.0
