index,Thiessen_date,Thiessen,skew_date,skew,diff_days,abs_days
4,1980-08-17,40.442507057355535,1980-08-17,0.16617151321479934,0 days 00:00:00.000000000,0.0
15,1981-08-14,31.62193302485633,1981-08-22,0.2141453281352179,-8 days +00:00:00.000000000,8.0
27,1982-08-27,46.993871337792704,1982-08-29,0.2677627499595604,-2 days +00:00:00.000000000,2.0
39,1983-08-11,94.27566886832626,1983-08-12,0.22230276316089187,-1 days +00:00:00.000000000,1.0
50,1984-08-29,22.67291979376402,1984-08-21,0.21032993567479935,8 days 00:00:00.000000000,8.0
62,1985-08-03,29.60677441636687,1985-08-06,0.10214260146723357,-3 days +00:00:00.000000000,3.0
74,1986-08-16,38.81882465007122,1986-08-05,0.29557975396439784,11 days 00:00:00.000000000,11.0
86,1987-08-15,59.570455233946994,1987-08-15,0.3053817773040826,0 days 00:00:00.000000000,0.0
98,1988-08-06,24.219695662158074,1988-08-03,0.19773000268785731,3 days 00:00:00.000000000,3.0
110,1989-08-18,82.01837684434568,1989-08-07,0.1411602430680595,11 days 00:00:00.000000000,11.0
122,1990-08-16,59.09202224397818,1990-08-03,0.18213320613341635,13 days 00:00:00.000000000,13.0
134,1991-08-05,63.492554176351966,1991-08-19,0.22497646001376886,-14 days +00:00:00.000000000,14.0
145,1992-08-21,90.30266770106444,1992-08-05,0.19670974566204866,16 days 00:00:00.000000000,16.0
157,1993-08-03,50.11307840477892,1993-08-22,0.14636459597856724,-19 days +00:00:00.000000000,19.0
169,1994-08-23,84.21484086234716,1994-08-24,0.18498690907266568,-1 days +00:00:00.000000000,1.0
181,1995-08-04,58.356592837311446,1995-08-18,0.21362409003999452,-14 days +00:00:00.000000000,14.0
193,1996-08-14,47.99826868515671,1996-08-10,0.11264325827299765,4 days 00:00:00.000000000,4.0
205,1997-08-29,29.873060680518016,1997-08-27,0.1840738175194545,2 days 00:00:00.000000000,2.0
217,1998-08-04,65.78191761147693,1998-08-01,0.33632203787393505,3 days 00:00:00.000000000,3.0
229,1999-08-19,24.738852573480468,1999-08-20,0.16450928478435034,-1 days +00:00:00.000000000,1.0
241,2000-08-12,59.14052421010597,2000-08-09,0.2182787684991913,3 days 00:00:00.000000000,3.0
253,2001-08-21,52.07083388374525,2001-08-06,0.23808072808836336,15 days 00:00:00.000000000,15.0
265,2002-08-30,33.70628102116595,2002-08-24,0.19909825005824214,6 days 00:00:00.000000000,6.0
277,2003-08-04,39.7661796808321,2003-08-03,0.24084042888629076,1 days 00:00:00.000000000,1.0
289,2004-08-19,46.52020575150682,2004-08-09,0.2846972109992833,10 days 00:00:00.000000000,10.0
301,2005-08-13,28.720019286179447,2005-08-01,0.15199031741084962,12 days 00:00:00.000000000,12.0
313,2006-08-29,63.54617650352548,2006-08-13,0.22301143288813371,16 days 00:00:00.000000000,16.0
325,2007-08-10,66.2620957714831,2007-08-06,0.16298483551999962,4 days 00:00:00.000000000,4.0
337,2008-08-01,78.37407379141555,2008-08-09,0.13450982525968574,-8 days +00:00:00.000000000,8.0
349,2009-08-25,43.84622171338429,2009-08-28,0.30309733911290104,-3 days +00:00:00.000000000,3.0
361,2010-08-14,51.694273410092755,2010-08-18,0.20969140252126506,-4 days +00:00:00.000000000,4.0
372,2011-08-27,33.52844947478304,2011-08-20,0.2460866400485885,7 days 00:00:00.000000000,7.0
384,2012-08-23,49.90690136482522,2012-08-23,0.19061723377507092,0 days 00:00:00.000000000,0.0
396,2013-08-06,35.74899962757651,2013-08-11,0.15399031649537942,-5 days +00:00:00.000000000,5.0
408,2014-08-15,43.77611814761625,2014-08-18,0.2479731494044473,-3 days +00:00:00.000000000,3.0
418,2015-08-15,28.030253308520265,2015-08-05,0.16647220773577345,10 days 00:00:00.000000000,10.0
430,2016-08-26,73.59899123735816,2016-08-24,0.16831941509606213,2 days 00:00:00.000000000,2.0
442,2017-08-27,35.69919332953639,2017-08-30,0.20673775924528512,-3 days +00:00:00.000000000,3.0
