index,Thiessen_date,Thiessen,skew_date,skew,diff_days,abs_days
5,1980-09-23,67.3575869627207,1980-09-28,0.13848655911602945,-5 days +00:00:00.000000000,5.0
16,1981-09-04,37.5750083713877,1981-09-19,0.27553134253974804,-15 days +00:00:00.000000000,15.0
28,1982-09-08,114.54080178288059,1982-09-23,0.2290342896788844,-15 days +00:00:00.000000000,15.0
40,1983-09-20,44.51003685643919,1983-09-15,0.15707640599107536,5 days 00:00:00.000000000,5.0
51,1984-09-05,59.609634626648976,1984-09-05,0.15523074671145282,0 days 00:00:00.000000000,0.0
63,1985-09-09,80.15727651667223,1985-09-30,0.17717007961194078,-21 days +00:00:00.000000000,21.0
75,1986-09-27,53.94609413193668,1986-09-25,0.2371218459193545,2 days 00:00:00.000000000,2.0
87,1987-09-29,52.1008794921757,1987-09-21,0.1304727162798256,8 days 00:00:00.000000000,8.0
99,1988-09-14,52.04607408629196,1988-09-18,0.15583209102294945,-4 days +00:00:00.000000000,4.0
111,1989-09-30,63.62346955674109,1989-09-29,0.10896491308709924,1 days 00:00:00.000000000,1.0
123,1990-09-03,99.89961515505644,1990-09-20,0.26057266956439273,-17 days +00:00:00.000000000,17.0
135,1991-09-24,33.29221407833849,1991-09-15,0.23851569038227055,9 days 00:00:00.000000000,9.0
146,1992-09-29,59.74602728735554,1992-09-26,0.22533455162004246,3 days 00:00:00.000000000,3.0
158,1993-09-03,68.14580535509563,1993-09-04,0.22520420891757864,-1 days +00:00:00.000000000,1.0
170,1994-09-25,54.785467069294796,1994-09-16,0.17383128457639652,9 days 00:00:00.000000000,9.0
182,1995-09-23,46.32142262711717,1995-09-23,0.3213783033053331,0 days 00:00:00.000000000,0.0
194,1996-09-07,75.4525719768595,1996-09-28,0.21636878499230008,-21 days +00:00:00.000000000,21.0
206,1997-09-16,59.741409932964544,1997-09-27,0.26882865203135725,-11 days +00:00:00.000000000,11.0
218,1998-09-27,89.91788030558641,1998-09-28,0.18879203862357696,-1 days +00:00:00.000000000,1.0
230,1999-09-03,34.591094761084214,1999-09-30,0.1273237285427914,-27 days +00:00:00.000000000,27.0
242,2000-09-15,38.95623809755164,2000-09-21,0.28052816989927554,-6 days +00:00:00.000000000,6.0
254,2001-09-05,51.97165899454095,2001-09-27,0.19174136710136094,-22 days +00:00:00.000000000,22.0
266,2002-09-09,78.87484504288348,2002-09-22,0.10805911812035147,-13 days +00:00:00.000000000,13.0
278,2003-09-30,67.9133849618357,2003-09-29,0.2282642447802807,1 days 00:00:00.000000000,1.0
290,2004-09-17,57.49996508125971,2004-09-29,0.2612869850106098,-12 days +00:00:00.000000000,12.0
302,2005-09-12,49.550380552289894,2005-09-07,0.1662127283631403,5 days 00:00:00.000000000,5.0
314,2006-09-12,44.776854043083326,2006-09-24,0.261607450670936,-12 days +00:00:00.000000000,12.0
326,2007-09-02,102.1552240041615,2007-09-16,0.22682643421269105,-14 days +00:00:00.000000000,14.0
338,2008-09-28,50.403042577873705,2008-09-07,0.2273837940841647,21 days 00:00:00.000000000,21.0
350,2009-09-13,49.86860812631342,2009-09-03,0.1821754648320648,10 days 00:00:00.000000000,10.0
362,2010-09-16,88.21172850012167,2010-09-12,0.051275647547165085,4 days 00:00:00.000000000,4.0
373,2011-09-21,37.11045953953005,2011-09-27,0.12136671967112582,-6 days +00:00:00.000000000,6.0
385,2012-09-09,44.832130235855615,2012-09-06,0.23370292484855254,3 days 00:00:00.000000000,3.0
397,2013-09-07,28.037389748210845,2013-09-21,0.15157339236126158,-14 days +00:00:00.000000000,14.0
409,2014-09-06,64.76785982937699,2014-09-12,0.21875900265431608,-6 days +00:00:00.000000000,6.0
419,2015-09-15,103.37943517554743,2015-09-17,0.22346709228766806,-2 days +00:00:00.000000000,2.0
431,2016-09-26,170.22654797546556,2016-09-20,0.1621715059744651,6 days 00:00:00.000000000,6.0
443,2017-09-14,74.31610631866495,2017-09-01,0.2099274108743352,13 days 00:00:00.000000000,13.0
